# Formato: x1 x2 ... xn w
-25.091976 90.142861 46.398788 19.731697 -68.796272 8.447670
-68.801096 -88.383278 73.235229 20.223002 41.614516 7.880750
-95.883101 93.981970 66.488528 -57.532178 -63.635007 6.161761
-63.319098 -39.151551 4.951286 -13.610996 -41.754172 9.604424
22.370579 -72.101228 -41.571070 -26.727631 -8.786003 2.804271
57.035192 -60.065244 2.846888 18.482914 -90.709917 1.983378
21.508970 -65.895175 -86.989681 89.777107 93.126407 8.685658
61.679470 -39.077246 -80.465577 36.846605 -11.969501 4.952348
-75.592353 -0.964618 -93.122296 81.864080 -48.244004 8.622720
32.504457 -37.657785 4.013604 9.342056 -63.029109 9.037812
93.916926 55.026565 87.899788 78.965470 19.579996 1.562118
84.374847 -82.301500 -60.803428 -90.954542 -34.933934 8.951183
-22.264542 -45.730194 65.747502 -28.649335 -43.813098 5.034871
8.539217 -71.815155 60.439396 -85.089871 97.377387 5.593892
54.448954 -60.256864 -98.895577 63.092286 41.371469 6.639333
45.801434 54.254069 -85.191070 -28.306854 -76.826188 9.337443
72.620685 24.659625 -33.820395 -87.288330 -37.803536 1.172045
-34.963336 45.921236 27.511494 77.442549 -5.557015 5.291591
-76.081151 42.648957 52.157010 12.255440 54.193436 7.189498
-1.240881 4.546566 -14.491796 -94.916175 -78.421715 7.504363
-93.714163 27.282082 -37.128804 1.714138 81.513295 7.232792
-50.141554 -17.923415 51.110228 -54.240367 -84.604018 2.209916
-42.049709 -67.755743 85.939530 61.624076 26.680751 3.694560
74.292118 60.734415 -62.685988 78.511800 7.868448 4.228440
61.488031 79.218260 -36.399305 -77.989615 -54.412967 8.239935
-14.578442 63.602953 72.146117 -98.609574 2.149461 3.508839
-16.517799 -55.578438 -76.026927 -32.476966 88.581941 2.896345
-35.359414 3.758124 40.603792 -27.274080 94.356417 9.617032
92.489459 -49.643541 -0.550299 -39.824338 -43.031901 1.079770
-92.622611 21.912867 0.535805 -89.704250 -44.270707 9.980388
81.653177 -52.087622 -71.021026 -2.109448 97.130091 7.091392
-51.588946 34.427109 52.323923 -52.472491 45.643270 8.456224
-26.443373 26.461166 26.705942 7.154937 -81.942046 3.651575
67.060499 -35.843987 -62.696298 -91.844972 18.178589 1.128837
35.512872 -96.682434 2.418612 -54.700845 29.034558 7.640826
-65.126714 38.187548 -22.652931 87.345998 -72.495811 8.507301
-31.786730 -77.305296 84.938724 75.467871 -48.411674 7.664285
31.996809 63.444440 11.040162 5.930116 -51.629542 2.285653
-81.379446 79.443152 80.083611 26.620291 -32.194042 7.780851
-30.158085 45.191136 79.422052 77.417285 55.975109 7.920305
28.406329 -83.172007 -67.674257 79.710838 21.285812 6.926865
-98.160590 -79.705691 32.700354 -98.987683 -67.838390 7.895043
9.746758 38.379040 30.392252 -55.146138 42.435844 8.613293
-52.550183 -34.920060 49.298281 29.926580 69.844682 6.522437
31.522578 13.661721 -81.265046 -26.456839 -46.959526 1.797442
-51.202071 94.602111 -21.380455 78.409311 26.227725 5.388650
58.962261 0.527419 15.380777 -1.496461 -60.951402 1.698844
44.490423 -43.845528 -95.136807 29.094459 -64.577864 4.667887
88.091717 90.785715 82.972878 -25.968260 -96.908677 4.663958
85.663713 -14.363170 93.330964 92.723995 70.601891 1.594089
-41.110222 -22.980454 70.227334 -36.615599 -66.101451 4.139385
11.360252 87.230955 39.205959 14.012234 -80.564701 1.998983
23.001445 98.010770 -71.983197 3.665930 75.474614 8.274117
48.153724 39.403148 40.496817 -28.101770 -41.281631 9.529192
61.872231 62.022679 73.414464 82.648111 2.268480 1.650848
0.303259 59.659036 29.992786 40.393375 59.158534 9.596037
78.001068 -32.400969 -24.883409 -81.203612 15.656028 5.703189
-92.811545 -6.880396 8.528927 -42.691750 18.166652 3.696091
-93.899950 -92.530362 64.520112 -27.961872 -74.587897 1.691759
4.448652 53.998711 -56.835795 24.578095 -82.930507 5.505618
-89.663656 6.270926 8.127024 27.485980 45.218267 8.150640
95.170416 3.260070 -35.408705 59.037239 -45.833550 7.363778
-12.205716 -84.308724 -94.929851 92.529683 67.196024 1.452034
39.194841 -18.209411 -65.341136 -68.712591 -49.951420 1.656117
9.845333 42.919185 32.039475 -44.013221 90.973056 4.625860
47.579383 10.870811 22.344149 -16.079988 -50.453802 3.657614
-28.805464 51.569222 -97.121302 -76.785472 -90.799472 3.091459
-91.854240 71.092117 40.731572 -5.165234 -80.433168 3.529040
-1.676825 -5.305646 -65.359626 -13.229670 -20.299053 8.231345
23.170020 27.018730 -90.939198 -25.077477 25.171983 9.363052
0.627252 71.297968 31.738726 -67.413115 -85.886251 4.645924
28.483856 -94.697738 17.155116 88.046048 15.094836 9.154999
-22.366015 28.657644 -8.349422 9.123358 88.292962 3.893461
-22.779472 92.238113 81.070128 -60.841773 -86.127740 5.287933
-79.844400 -96.355635 -81.111408 36.601355 -85.762270 3.034261
-36.204874 68.975062 -95.345613 62.893697 -43.629045 6.764284
-76.367034 39.347433 25.788569 75.494403 47.014209 9.810830
60.696186 -43.593085 -64.512091 50.122950 61.366948 6.431438
98.101028 -17.476465 -25.596383 55.282592 -31.839292 4.220327
86.151465 71.682550 -14.201195 50.174214 50.908575 6.830357
-79.375226 80.510581 1.050474 65.291493 -35.990080 2.106286
79.104646 -22.159664 -97.832470 81.076395 -81.742665 8.997932
-36.137272 90.012393 90.121429 14.687578 26.367442 5.527756
-10.310896 -41.357846 -34.267091 34.503691 50.474906 5.044148
58.315809 57.923629 -81.758779 -1.115939 -88.488248 6.272783
9.905776 -11.693900 77.540837 -29.816997 -76.586597 6.623055
-71.401664 52.302126 23.643613 -79.775465 -83.178639 1.645982
40.193826 -85.447399 64.372012 41.248445 -83.730244 7.143555
-83.032457 97.327916 -25.145841 -25.871571 62.559913 3.177385
89.449715 97.200213 50.675637 -24.748083 -83.299857 7.425574
55.429383 11.680850 -15.155598 81.270877 -77.760504 8.402813
-1.474979 -97.729271 -6.267872 -88.739345 -76.236417 8.235627
-76.494751 29.842060 49.208976 16.673753 92.434510 5.972509
-25.025884 -42.857583 73.719826 -55.280832 92.644508 5.681529
-97.569105 93.975765 -91.368018 78.228623 5.540222 2.285884
98.592959 -85.240687 10.770857 93.860507 4.619569 7.978115
25.879728 39.149738 -9.091787 25.511616 16.862862 3.442684
80.231602 -90.910724 -43.807362 90.082297 78.052757 5.470259
-8.868649 24.026520 -44.523763 -62.375768 -7.260319 3.558467
-29.329554 16.731222 -84.453073 94.878962 97.242149 2.204455
39.632343 7.219273 -38.094477 62.759004 36.946235 6.666019
-67.476612 82.185437 64.507449 89.959983 45.143902 1.488988
22.683039 -16.351393 86.545697 73.212778 -90.956266 7.737807
-94.726605 -24.707327 62.110666 97.455226 -69.916622 3.858281
18.826143 -23.821829 93.982880 68.423785 67.665741 1.001212
-6.261368 -17.036100 -45.318586 -88.724901 72.944475 5.600162
62.580202 99.943535 99.327367 11.086341 53.797483 1.421667
88.953146 69.929478 -50.530380 -9.891173 -74.168117 3.485526
90.810205 21.234927 -54.271439 34.340137 23.625648 7.362788
-28.367456 -77.288482 34.314639 4.061540 54.463678 1.564207
4.032700 70.436300 10.381368 12.187594 75.330721 8.554046
-19.303427 -73.196954 -94.243465 51.027451 24.061910 1.034379
40.815954 -57.407168 -72.725705 -97.091067 -29.882488 3.221415
17.983537 -21.551191 -12.505016 80.831739 -30.348907 7.668137
2.797898 56.730603 -20.691444 24.417340 72.472742 3.846431
89.904125 -70.585304 85.317525 -1.576741 -48.351122 1.917031
-8.172849 96.006515 -1.476381 -34.249678 26.680171 4.242105
-51.970876 -84.827334 -74.224056 -74.390832 -69.619461 3.433540
-72.234565 28.174949 -63.623983 -30.866543 79.357682 8.584407
-5.207672 33.511548 -65.536026 -61.542196 -91.826277 3.820131
-66.212987 -44.281932 -64.597903 -82.259493 -75.872826 8.100392
-7.844246 -58.733256 -27.146028 0.683454 38.078966 9.026849
-92.137572 59.882080 25.580078 -83.648194 74.715725 4.904357
84.174480 -87.784408 -44.624470 61.240256 49.651938 9.189488
-63.095796 -58.130135 -25.905579 -3.095403 23.650954 4.395862
-26.217272 -7.493057 49.494188 -92.663359 -49.512611 9.676706
42.669917 79.041368 2.335488 6.422697 -78.565598 1.803606
-10.517527 6.523453 -51.505899 -46.151354 -24.543167 7.183173
-95.985760 -35.584167 -57.710399 -34.500530 -76.047574 5.444326
78.105456 18.718491 35.820464 57.834248 -0.311560 4.488839
-82.615942 7.421308 17.368224 49.087895 -13.668091 6.694407
-74.483939 -43.244819 -27.383541 29.183448 14.155661 7.334714
-28.780655 97.303050 21.154964 -52.554642 -79.643505 1.039269
-69.428172 -50.808454 -67.863725 -62.686595 -42.980966 2.502578
-65.325281 79.353085 -83.953251 4.902278 -17.920635 7.417414
96.475723 -77.592220 -20.428880 93.894087 73.101425 6.997469
63.414414 -48.419435 -65.822483 33.728644 85.875198 9.694428
11.352579 14.322538 -44.004181 53.898587 -62.591250 7.849340
-35.264153 -14.912712 1.522076 -51.518054 -77.032635 9.556954
22.124008 -42.273889 16.247644 -69.127457 -3.771980 7.322865
