# Formato: x1 x2 ... xn w
-25.091976 90.142861 46.398788 19.731697 -68.796272 9.726262
-68.801096 -88.383278 73.235229 20.223002 41.614516 7.976195
-95.883101 93.981970 66.488528 -57.532178 -63.635007 9.455490
-63.319098 -39.151551 4.951286 -13.610996 -41.754172 9.053446
22.370579 -72.101228 -41.571070 -26.727631 -8.786003 6.381100
57.035192 -60.065244 2.846888 18.482914 -90.709917 9.296868
21.508970 -65.895175 -86.989681 89.777107 93.126407 1.796433
61.679470 -39.077246 -80.465577 36.846605 -11.969501 2.763846
-75.592353 -0.964618 -93.122296 81.864080 -48.244004 1.407046
32.504457 -37.657785 4.013604 9.342056 -63.029109 3.927973
